FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
774,775,447,3,Brooklyn,044700,3044700,E,BK77,Bushwick North,4002,5524.597706169999600,5524.597617839999700,1752616.355780000100000,0
775,776,616.02,4,Queens,061602,4061602,I,QN05,Rosedale,4105,10070.869329200001000,10070.869107799999000,4551815.479670000300000,0
776,777,235.02,1,Manhattan,023502,1023502,E,MN03,Central Harlem North-Polo Grounds,3803,3399.584290560000200,3399.584436430000100,447807.717829999980000,0
777,778,66,3,Brooklyn,006600,3006600,E,BK31,Bay Ridge,4013,5243.925222109999600,5243.925141779999600,1653273.304330000000000,1
778,779,134,3,Brooklyn,013400,3013400,I,BK31,Bay Ridge,4013,8713.727979870000100,8713.727478779999700,2887202.927550000100000,0
779,780,197.02,1,Manhattan,019702,1019702,E,MN11,Central Harlem South,3803,3204.620752859999800,3204.620782020000200,509562.204764000020000,2
780,781,40,1,Manhattan,004000,1004000,I,MN22,East Village,3809,5563.560179359999900,5563.559939980000300,1927630.304289999900000,0
781,782,70,3,Brooklyn,007000,3007000,I,BK31,Bay Ridge,4013,7182.337973800000300,7182.338037460000100,1586252.133930000000000,0
782,783,72,3,Brooklyn,007200,3007200,E,BK32,Sunset Park West,4012,3455.521796990000000,3455.521351479999800,653314.872173000010000,0
783,784,38,3,Brooklyn,003800,3003800,I,BK31,Bay Ridge,4013,5026.866661060000300,5026.866713350000300,1367702.843940000000000,0
784,785,516,2,Bronx,051600,2051600,I,BX10,Pelham Bay-Country Club-City Island,3703,94401.431143599999000,94401.424703600002000,17352035.143100001000000,1
785,786,620,3,Brooklyn,062000,3062000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,9588.799942760000700,9588.799769889999900,3439027.515780000000000,7
786,787,390,3,Brooklyn,039000,3039000,I,BK25,Homecrest,4016,6671.629552270000200,6671.629956869999700,1871911.440200000100000,0
787,788,328,2,Bronx,032800,2032800,E,BX07,Bronxdale,3704,7120.211933149999800,7120.211546260000400,2202647.565260000100000,0
788,789,340,2,Bronx,034000,2034000,E,BX07,Bronxdale,3704,5860.178834839999600,5860.178724880000100,1704073.384400000100000,1
789,790,49,3,Brooklyn,004900,3004900,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5528.991798099999900,5528.991451779999800,1051002.979660000000000,0
790,791,63,3,Brooklyn,006300,3006300,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5763.003838440000400,5763.003955129999700,1084239.301590000000000,0
791,792,94,3,Brooklyn,009400,3009400,E,BK34,Sunset Park East,4012,5203.583962169999700,5203.584158890000300,1625601.052560000000000,0
792,793,96,3,Brooklyn,009600,3009600,E,BK34,Sunset Park East,4012,5203.073715309999900,5203.073320210000000,1622766.639040000000000,0
793,794,82,3,Brooklyn,008200,3008200,E,BK32,Sunset Park West,4012,4989.686718900000400,4989.686829489999600,1517026.138830000100000,0
794,795,86,3,Brooklyn,008600,3008600,I,BK34,Sunset Park East,4012,4685.244935750000000,4685.244265440000200,1221916.744939999900000,0
795,796,1176.02,3,Brooklyn,117602,3117602,E,BK83,Cypress Hills-City Line,4008,5876.215312870000200,5876.214846779999800,1548008.010120000000000,0
796,797,1178,3,Brooklyn,117800,3117800,E,BK83,Cypress Hills-City Line,4008,5879.123201999999800,5879.122918420000100,1511356.034160000000000,0
797,798,328,4,Queens,032800,4032800,I,QN66,Laurelton,4105,11131.265900799999000,11131.265729900000000,3952889.734069999800000,0
798,799,205,1,Manhattan,020500,1020500,I,MN09,Morningside Heights,3802,7148.866896290000100,7148.866461180000400,2977091.367430000100000,1
799,800,349,3,Brooklyn,034900,3034900,E,BK61,Crown Heights North,4006,6098.133457099999800,6098.133549160000300,1756872.980509999900000,0
