,GEO.id2,PUMA,youth_pop,Income,Education_level,hotspot,withoutHSI,WithoutDevice,score,RANK
1713,36047002000,04012,39.7266765226,73.2569553874,24.5303852057,100.0,25.671432929,14.9842959344,59.2877729777,1714
1714,36085013400,03902,26.3095618423,71.1434303772,48.1485037245,100.0,31.249054025,15.1924181505,59.2817142855,1715
1715,36081152902,04104,28.5428010638,68.3707473328,55.152394775,100.0,10.1789827944,10.4415536403,59.2631793433,1716
1716,36081088400,04113,26.2310329552,71.0810019547,48.3221560482,100.0,22.6127396831,15.1524710831,59.2579226194,1717
1717,36081054800,04105,35.1177677259,69.2434536264,44.0988541878,100.0,15.7357361117,9.82586649765,59.2567171376,1718
1718,36081144700,04104,27.8577096762,70.8239690699,47.2618955802,100.0,10.1789827944,10.4415536403,59.2565893339,1719
1719,36047074600,04009,28.4795132142,68.6303634626,54.2286072462,100.0,28.9517597448,13.8927392503,59.2494579595,1720
1720,36081115100,04103,23.8708230429,73.0119776463,47.4600870827,84.8484848485,32.0560553359,22.471582629,59.223903874,1721
1721,36047097000,04009,28.8039666541,71.3888386591,43.9138626649,100.0,28.9517597448,13.8927392503,59.2215318144,1722
1722,36081069000,04105,38.0823080203,71.2540793745,33.1765883234,100.0,15.7357361117,9.82586649765,59.217168218,1723
1723,36061020500,03802,68.5319542284,55.0416332998,54.4217405074,96.9696969697,33.657827623,18.4608250248,59.2090464,1724
1724,36061006200,03808,52.1153219262,60.8354214564,52.9224641507,100.0,6.74239416176,6.39482732845,59.1861667433,1725
1725,36005000400,03709,30.6164401893,70.4373433908,44.5588560823,100.0,37.7845845042,17.940666448,59.1317946319,1726
1726,36085027301,03902,29.3835569366,70.2022680892,46.6158094092,100.0,31.249054025,15.1924181505,59.0879940069,1727
1727,36005031400,03704,28.2233215612,68.6755702513,53.2001171178,100.0,37.845666913,16.4885802057,59.0519675619,1728
1728,36047072400,04009,31.7134165379,68.7896635754,48.5391683221,100.0,28.9517597448,13.8927392503,59.0437495893,1729
